"seed","trait","predictor","truth","converged","pd_hessian","ci_available","lower","upper","covered","width","df","wall_s","cell_id","task_id"
10001,1,1,0.298375165299275,TRUE,TRUE,TRUE,0.158306408954371,0.393263564628729,TRUE,0.234957155674358,58,0.934080123901367,"gauss-S60-K1-smalln",1
10001,2,1,0.115776202266888,TRUE,TRUE,TRUE,0.0743649800753592,0.273023653113725,TRUE,0.198658673038366,58,0.934080123901367,"gauss-S60-K1-smalln",1
10001,3,1,-0.672731165772665,TRUE,TRUE,TRUE,-0.910340559398649,-0.449849833020876,TRUE,0.460490726377773,58,0.934080123901367,"gauss-S60-K1-smalln",1
10001,4,1,-0.611414179879528,TRUE,TRUE,TRUE,-0.738655512700525,-0.339674776648296,TRUE,0.398980736052229,58,0.934080123901367,"gauss-S60-K1-smalln",1
10002,1,1,0.298375165299275,TRUE,TRUE,TRUE,0.267704144899183,0.528060329487721,TRUE,0.260356184588538,58,0.392849922180176,"gauss-S60-K1-smalln",1
10002,2,1,0.115776202266888,TRUE,TRUE,TRUE,-0.00229672861944618,0.225967248856506,TRUE,0.228263977475952,58,0.392849922180176,"gauss-S60-K1-smalln",1
10002,3,1,-0.672731165772665,TRUE,TRUE,TRUE,-1.0845223046481,-0.59631145324601,TRUE,0.488210851402087,58,0.392849922180176,"gauss-S60-K1-smalln",1
10002,4,1,-0.611414179879528,TRUE,TRUE,TRUE,-0.905273507811679,-0.507314455718164,TRUE,0.397959052093515,58,0.392849922180176,"gauss-S60-K1-smalln",1
10003,1,1,0.298375165299275,TRUE,TRUE,TRUE,0.164795233014214,0.40968643648062,TRUE,0.244891203466406,58,0.466414928436279,"gauss-S60-K1-smalln",1
10003,2,1,0.115776202266888,TRUE,TRUE,TRUE,-0.0188645355119914,0.166864564113208,TRUE,0.185729099625199,58,0.466414928436279,"gauss-S60-K1-smalln",1
10003,3,1,-0.672731165772665,TRUE,TRUE,TRUE,-0.794768022574586,-0.332296993030383,TRUE,0.462471029544203,58,0.466414928436279,"gauss-S60-K1-smalln",1
10003,4,1,-0.611414179879528,TRUE,TRUE,TRUE,-0.686995077779932,-0.280428079375856,TRUE,0.406566998404076,58,0.466414928436279,"gauss-S60-K1-smalln",1
